Model,Split,Accuracy,Precision (macro),Recall (macro),F1 (macro)
GCN,Validation,0.5834759555689788,0.3905413238048621,0.3072118074249759,0.3166995307953113
GCN,Test,0.5253585169639734,0.35142235961877333,0.2868687183686358,0.28357014878030046
GAT,Validation,0.5600523507500251,0.3701757998640004,0.23906284604914746,0.24401565886461088
GAT,Test,0.5124992284426887,0.32958204846487227,0.22971986364443003,0.22382744906101903
